Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
3,Broncos,Jamayne Isaako,1,Fullback,80,2,0,1,1,0,1.0,0,44,14,109,54,34,0,0,0,0,7,0,13,3.29,0,0,0,0,0,16,30,1.14,1.0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
3,Broncos,Corey Oates,2,Winger,80,0,0,0,0,0,0,0,15,13,96,10,42,0,0,0,0,1,0,13,3.58,1,4,0,0,0,1,15,0.08,0.667,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
3,Broncos,Kotoni Staggs,3,Centre,80,0,0,0,0,0,0,0,22,9,119,0,29,1,0,0,0,1,0,5,2.94,0,0,0,0,0,4,11,0.44,0.8,20,2,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,0,0,0,80,0
3,Broncos,Darius Boyd,4,Centre,80,0,0,0,0,0,0,0,19,6,64,0,19,0,0,0,0,1,0,6,3.83,4,43,0,0,0,4,11,0.67,0.8240000000000001,14,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,80,0
3,Broncos,Jesse Arthars,5,Winger,54,0,0,0,0,0,0,0,5,9,66,9,30,0,0,0,0,0,0,9,3.15,1,13,0,0,0,1,14,0.11,0.5,3,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,0
3,Broncos,Anthony Milford,6,Five-Eighth,80,0,0,0,0,0,0,0,17,4,29,0,1,0,0,0,0,0,0,1,5.12,0,0,1,0,0,15,21,3.75,0.857,18,2,1,0,0,4,79,1,0,1,0,0,1,0,2,2,0,0,0,0,0,0,80,0
3,Broncos,Brodie Croft,7,Halfback,80,4,1,0,0,0,0,0,57,8,95,0,3,1,0,0,0,2,0,1,2.12,0,0,0,0,2,20,34,2.5,0.792,19,3,2,0,0,11,394,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,80,0
3,Broncos,Thomas Flegler,8,Prop,47,0,0,0,0,0,0,0,25,8,80,33,29,0,0,0,0,0,6,6,3.67,0,0,0,1,1,1,9,0.13,0.833,25,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,21,26
3,Broncos,Jake Turpin,9,Hooker,80,0,0,0,0,0,0,0,62,2,25,0,9,0,0,0,0,1,1,1,4.68,0,0,0,0,0,83,85,41.5,0.865,64,3,7,0,0,1,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,80,0
3,Broncos,Payne Haas,10,Prop,80,0,0,0,0,0,0,0,85,18,196,5,97,0,0,0,0,4,17,15,3.72,0,0,0,3,0,0,18,0,0.925,49,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,Broncos,Alex Glenn,11,2nd,41,0,0,0,0,0,0,0,21,3,37,0,22,0,0,0,0,0,3,3,3.15,0,0,0,0,0,0,3,0,0.909,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0
3,Broncos,Jamil Hopoate,12,2nd,80,0,0,0,0,0,0,0,30,6,56,0,20,0,0,0,0,0,6,5,2.94,0,0,0,0,0,0,9,0,0.8,44,7,4,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,80,0
3,Broncos,Patrick Carrigan,13,Lock,55,0,0,0,0,0,0,0,57,12,115,0,52,0,0,0,0,3,11,10,3.12,0,0,0,0,0,2,13,0.17,0.879,51,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,29,25
3,Broncos,Herbie Farnworth,14,Interchange,26,0,0,0,0,0,0,0,13,8,80,0,38,0,0,0,0,1,0,8,3.46,0,0,0,0,0,0,8,0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
3,Broncos,Joe Ofahengaue,15,Interchange,33,0,0,0,0,0,0,0,21,8,57,0,21,0,0,0,0,1,8,8,3.35,0,0,0,0,0,0,8,0,0.75,21,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
