Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
21,Panthers,Dylan Edwards,1,Fullback,80,0,0,0,0,0,0,0,34,16,149,76,41,0,1,1,0,4,1,13,3.27,1,2,0,1,2,18,37,1.13,0.5,3,3,0,0,4,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,80,0
21,Panthers,Josh Mansour,2,Winger,80,4,1,0,0,0,0,0,41,17,160,20,60,1,0,0,0,3,0,15,2.8,1,12,0,0,0,1,18,0.06,0.857,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
21,Panthers,Brent Naden,3,Centre,80,0,0,0,0,0,0,0,7,10,75,0,28,0,0,0,0,0,0,7,3.29,2,18,0,1,0,5,13,0.5,0.65,13,6,1,0,0,1,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,80,0
21,Panthers,Stephen Crichton,4,Centre,80,4,1,0,0,0,0,0,43,11,105,0,34,2,0,1,0,5,0,9,3.96,0,0,0,0,1,1,11,0.09,0.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
21,Panthers,Brian To'o,5,Winger,80,0,0,0,0,0,0,0,26,18,158,8,68,0,0,0,0,2,2,12,2.51,0,0,0,3,0,0,20,0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,80,0
21,Panthers,Jarome Luai,6,Five-Eighth,80,0,0,0,0,0,0,0,35,11,69,2,20,0,1,1,0,2,0,3,3.55,2,16,0,1,3,32,41,2.91,0.773,17,5,0,0,0,5,91,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,80,0
21,Panthers,Nathan Cleary,7,Halfback,80,21,3,4,5,0,0.6667000000000001,1,91,7,46,0,6,1,0,0,0,2,0,4,3.11,0,0,0,0,5,29,55,4.14,0.833,15,1,2,0,0,18,543,1,5,1,0,0,3,0,0,0,0,1,1,0,0,0,80,0
21,Panthers,James Tamou,8,Prop,26,0,0,0,0,0,0,0,25,10,70,9,36,0,0,0,0,0,9,10,3.39,0,0,0,0,0,0,10,0,1.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4
21,Panthers,Apisai Koroisau,9,Hooker,80,0,0,0,0,0,0,0,53,4,23,0,6,0,0,0,0,0,1,2,3.56,3,23,0,0,3,123,128,30.75,0.924,61,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
21,Panthers,James Fisher-Harris,10,Prop,56,0,0,0,0,0,0,0,44,14,123,0,58,0,0,0,0,0,14,15,3.6,0,0,0,0,0,2,17,0.14,0.889,40,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26
