Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
5,Sea Eagles,Tom Trbojevic,1,Fullback,80,0,0,0,0,0,0,0,35,18,167,34,52,0,2,2,0,0,0,13,3.72,1,3,0,0,0,14,29,0.78,0.7,7,1,2,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,80,0
5,Sea Eagles,Brad Parker,3,Centre,80,0,0,0,0,0,0,0,10,6,50,0,21,0,0,0,0,0,1,4,3.43,0,0,0,0,0,6,7,1,0.6920000000000001,9,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,80,0
5,Sea Eagles,Moses Suli,4,Centre,80,4,1,0,0,0,0,0,33,13,117,0,47,1,0,0,0,1,1,11,3.27,0,0,0,0,0,0,13,0,0.846,11,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0
5,Sea Eagles,Reuben Garrick,5,Winger,80,8,0,2,3,2,0.8,0,20,11,105,22,30,0,0,0,0,1,1,9,3.92,0,0,0,0,0,6,16,0.55,0.6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Sea Eagles,Dylan Walker,6,Five-Eighth,80,0,0,0,0,0,0,0,15,9,63,0,12,0,1,1,0,0,0,3,2.64,1,2,0,0,2,31,36,3.44,0.636,14,6,2,0,0,2,18,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,80,0
5,Sea Eagles,Daly Cherry-Evans,7,Halfback,80,4,1,0,0,0,0,0,61,8,63,4,17,1,0,0,0,1,1,4,3.78,0,0,0,3,7,40,63,5,0.8,12,1,2,0,1,16,471,1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,80,0
5,Sea Eagles,Addin Fonua-Blake,8,Interchange,64,0,0,0,0,0,0,0,56,20,254,98,124,0,0,0,0,2,14,18,3.81,0,0,0,0,0,0,20,0,1.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,50,13
5,Sea Eagles,Danny Levi,9,Hooker,50,0,0,0,0,0,0,0,25,6,39,0,18,0,0,0,0,0,0,4,3.63,6,39,0,0,2,63,67,10.5,0.909,30,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,18
5,Sea Eagles,Martin Taupau,10,Prop,8,0,0,0,0,0,0,0,10,1,11,0,5,0,0,0,0,0,1,1,5.28,0,0,0,0,0,0,1,0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
5,Sea Eagles,Joel Thompson,11,2nd,80,0,0,0,0,0,0,0,30,9,99,0,50,0,0,0,0,1,9,9,3.54,0,0,0,0,0,2,11,0.22,0.9570000000000001,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
5,Sea Eagles,Jake Trbojevic,13,Lock,80,0,0,0,0,0,0,0,56,21,174,0,77,0,0,0,0,1,18,15,2.91,0,0,0,1,4,11,30,0.52,0.905,38,2,2,0,0,1,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
5,Sea Eagles,Lachlan Croker,14,Interchange,30,0,0,0,0,0,0,0,19,6,67,0,32,0,0,0,0,0,4,5,3.41,2,17,0,0,3,47,53,7.83,0.85,17,2,1,0,0,1,51,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,29,0
5,Sea Eagles,Corey Waddell,15,2nd,77,0,0,0,0,0,0,0,47,17,145,17,52,0,0,0,0,2,14,11,3.56,0,0,0,2,0,6,22,0.35,0.853,29,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
5,Sea Eagles,Sean Keppie,16,Interchange,29,0,0,0,0,0,0,0,26,8,82,0,46,0,0,0,0,0,8,4,3.4,0,0,0,1,1,0,8,0,0.909,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0
5,Sea Eagles,Taniela Paseka,17,Prop,35,0,0,0,0,0,0,0,40,12,93,10,38,0,0,0,0,2,11,12,3.19,0,0,0,0,1,0,12,0,1.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8
5,Sea Eagles,Jack Gosiewski,19,Interchange,28,0,0,0,0,0,0,0,21,9,88,0,40,0,0,0,0,0,9,9,3.31,0,0,0,0,0,0,9,0,0.929,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
5,Sea Eagles,Tevita Funa,20,Winger,80,4,1,0,0,0,0,0,24,11,71,0,24,1,0,0,0,0,2,10,3.56,0,0,0,0,0,2,15,0.18,0.625,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,80,0
5,Broncos,Jamayne Isaako,1,Fullback,80,6,0,3,3,0,1.0,0,46,16,159,53,64,0,0,0,0,4,1,15,3.34,2,20,0,0,1,31,47,1.94,0.9229999999999999,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Broncos,Xavier Coates,2,Winger,80,4,1,0,0,0,0,0,20,15,116,8,39,1,0,0,0,2,1,11,2.88,1,7,0,0,0,5,24,0.33,0.8,4,0,1,0,1,0,0,0,0,0,0,0,0,0,4,6,0,3,0,0,0,0,80,0
5,Broncos,Kotoni Staggs,3,Centre,80,4,1,0,0,0,0,0,46,10,86,0,32,0,1,0,0,5,0,7,3.26,0,0,0,2,0,7,18,0.7,1.0,10,0,0,0,0,2,28,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,80,0
5,Broncos,Darius Boyd,4,Centre,80,4,1,0,0,0,0,0,47,8,92,0,32,1,0,0,0,3,1,7,2.95,3,27,0,0,2,3,10,0.38,0.9440000000000001,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0
5,Broncos,Herbie Farnworth,5,Winger,80,0,0,0,0,0,0,0,25,16,167,39,72,0,0,0,0,2,2,17,3.42,1,9,0,0,0,1,19,0.06,0.857,6,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80,0
5,Broncos,Anthony Milford,6,Five-Eighth,80,0,0,0,0,0,0,0,45,10,81,0,10,0,1,2,0,2,0,2,3.3,1,12,0,2,0,26,37,2.6,0.846,11,2,0,0,0,6,179,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,80,0
5,Broncos,Brodie Croft,7,Halfback,80,0,0,0,0,0,0,0,36,8,62,0,18,0,0,0,0,0,0,5,3.21,0,0,0,0,3,27,46,3.38,1.0,18,0,0,0,0,14,295,0,8,1,0,0,1,0,1,0,0,0,0,0,0,0,80,0
5,Broncos,Matthew Lodge,8,Prop,47,0,0,0,0,0,0,0,41,18,186,38,66,0,0,0,0,1,15,16,3.17,0,0,0,1,2,5,23,0.28,0.96,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,23
5,Broncos,Cory Paix,9,Hooker,71,0,0,0,0,0,0,0,35,3,30,0,8,0,0,0,0,0,0,2,3.18,3,30,0,0,0,89,92,29.67,0.927,38,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,70,0
5,Broncos,Payne Haas,10,Prop,80,0,0,0,0,0,0,0,83,19,191,0,105,0,0,0,0,4,18,15,3.3,0,0,0,4,0,2,21,0.11,0.9179999999999999,45,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
5,Broncos,Corey Oates,11,2nd,63,0,0,0,0,0,0,0,34,8,60,0,27,0,0,0,0,0,8,7,3.84,0,0,0,0,0,0,8,0,0.9440000000000001,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,7
5,Broncos,Joe Ofahengaue,12,2nd,80,0,0,0,0,0,0,0,35,6,57,0,26,0,0,0,0,0,6,6,2.53,0,0,0,0,0,1,7,0.17,0.919,34,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Broncos,Patrick Carrigan,13,Lock,56,0,0,0,0,0,0,0,62,14,149,0,68,0,0,0,0,1,14,14,2.86,0,0,0,0,0,1,17,0.07,0.9620000000000001,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,28,27
5,Broncos,Tesi Niu,14,Interchange,9,0,0,0,0,0,0,0,5,2,35,20,11,0,0,0,0,0,1,2,2.34,0,0,0,0,0,2,4,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
5,Broncos,Ben Te'o,15,Interchange,17,0,0,0,0,0,0,0,12,1,9,0,3,0,0,0,0,0,1,1,2.84,0,0,0,0,0,0,1,0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
5,Broncos,Rhys Kennedy,16,Interchange,19,0,0,0,0,0,0,0,17,2,21,0,8,0,0,0,0,0,2,2,2.72,0,0,0,0,0,0,2,0,0.9440000000000001,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
5,Broncos,Thomas Flegler,17,Interchange,39,0,0,0,0,0,0,0,25,13,106,11,46,0,0,0,0,1,12,13,3.69,0,0,0,0,0,0,14,0,0.8,20,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,33,4
5,Warriors,Roger Tuivasa-Sheck,1,Fullback,80,0,0,0,0,0,0,0,52,23,216,89,79,0,0,0,0,4,1,16,3.8,2,23,0,3,1,19,38,0.83,1.0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
5,Warriors,Patrick Herbert,2,Winger,80,4,1,0,1,0,0,0,29,11,82,14,36,0,0,0,0,1,2,11,3.44,0,0,0,0,0,2,14,0.18,1.0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Warriors,Gerard Beale,4,Centre,80,0,0,0,0,0,0,0,22,13,118,0,52,0,0,0,0,0,1,10,3.95,1,10,0,0,0,5,16,0.38,0.813,13,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Warriors,Adam Pompey,5,Winger,80,4,1,0,0,0,0,0,25,11,98,0,33,2,0,0,0,1,1,8,3.56,0,0,0,0,0,3,14,0.27,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0
5,Warriors,Kodi Nikorima,6,Five-Eighth,80,9,0,3,6,1,0.5714,1,64,9,97,0,6,1,1,2,0,1,0,1,3.12,0,0,0,2,4,27,33,3,0.9329999999999999,14,0,1,0,0,2,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Warriors,Blake Green,7,Halfback,80,0,0,0,0,0,0,0,62,10,59,0,9,0,0,3,0,1,1,3,4.25,0,0,0,1,4,33,53,3.3,0.727,16,1,5,0,0,15,438,2,4,2,0,0,2,1,0,0,0,1,0,0,0,0,80,0
5,Warriors,Jamayne Taunoa-Brown,8,Prop,36,0,0,0,0,0,0,0,47,15,178,77,72,0,0,0,0,2,11,14,3.06,0,0,0,0,1,1,16,0.07,1.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15
5,Warriors,Wayde Egan,9,Hooker,57,0,0,0,0,0,0,0,30,2,19,0,1,0,0,1,0,0,0,1,2.72,2,19,0,0,4,79,80,39.5,0.963,26,0,1,0,0,1,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,57,0
5,Warriors,Lachlan Burr,10,Prop,33,0,0,0,0,0,0,0,24,11,107,25,37,0,0,0,0,0,9,11,3.66,0,0,0,0,1,1,12,0.09,0.815,22,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,29,4
5,Warriors,Eliesa Katoa,11,2nd,80,4,1,0,0,0,0,0,66,15,146,0,69,0,1,0,0,5,12,12,3.83,2,21,0,1,0,1,16,0.07,0.9309999999999999,27,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
5,Warriors,Tohu Harris,12,2nd,80,0,0,0,0,0,0,0,62,17,193,0,75,0,0,0,0,1,17,17,2.79,0,0,0,0,1,5,22,0.29,0.977,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
5,Warriors,Adam Blair,13,Lock,54,0,0,0,0,0,0,0,45,16,157,18,52,0,0,0,0,1,13,13,3.26,0,0,0,1,2,6,20,0.38,0.9309999999999999,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26
5,Warriors,Karl Lawton,14,Interchange,23,4,1,0,0,0,0,0,19,4,16,0,4,0,0,0,0,1,2,2,3.92,2,6,0,0,1,38,42,9.5,0.875,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,23,0
5,Warriors,Poasa Faamausili,15,Interchange,33,0,0,0,0,0,0,0,24,8,89,10,36,0,0,0,0,1,7,8,3.08,0,0,0,0,0,0,8,0,1.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,0
5,Warriors,King Vuniyayawa,16,Interchange,24,0,0,0,0,0,0,0,27,8,75,24,29,0,0,0,0,2,5,6,3.15,0,0,0,0,0,0,8,0,1.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,0
5,Warriors,Jack Murchie,17,Interchange,60,0,0,0,0,0,0,0,20,7,60,0,33,0,0,0,0,0,7,6,3.63,0,0,0,1,0,0,7,0,0.696,16,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,0
5,Warriors,Peta Hiku,20,Centre,80,12,3,0,0,0,0,0,56,16,164,0,74,1,0,0,0,4,1,12,3.93,0,0,0,0,1,3,20,0.19,0.667,10,3,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,80,0
5,Cowboys,Valentine Holmes,1,Fullback,27,4,1,0,0,0,0,0,20,3,26,0,12,1,0,0,0,1,0,2,3.56,0,0,0,0,0,10,13,3.33,1.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
5,Cowboys,Kyle Feldt,2,Winger,80,14,2,3,5,0,0.6,0,41,11,111,0,39,1,0,0,0,1,0,9,3.21,0,0,0,0,0,2,16,0.18,1.0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,80,0
5,Cowboys,Justin O'Neill,3,Centre,80,4,1,0,0,0,0,0,41,14,121,34,42,1,0,0,0,3,0,13,3.44,2,21,0,0,1,0,14,0,0.9,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Cowboys,Esan Marsters,4,Centre,80,0,0,0,0,0,0,0,-5,11,92,0,31,0,0,0,0,1,2,7,3.07,2,5,0,2,0,3,13,0.27,0.429,6,7,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,80,0
5,Cowboys,Hamiso Tabuai-Fidow,5,Winger,80,0,0,0,0,0,0,0,40,10,56,17,11,0,2,2,0,2,0,7,5.05,0,0,1,0,1,13,21,1.3,0.8240000000000001,14,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0
5,Cowboys,Scott Drinkwater,6,Five-Eighth,80,0,0,0,0,0,0,0,22,11,50,0,0,0,1,1,0,0,0,2,3.84,0,0,0,0,0,31,43,2.82,0.75,12,3,1,0,1,7,141,0,0,3,0,0,1,0,2,3,0,0,0,0,0,0,80,0
5,Cowboys,Jake Clifford,7,Halfback,80,0,0,0,0,0,0,0,32,5,42,0,19,0,0,0,0,0,0,4,2.98,0,0,0,0,4,25,35,5,0.815,22,2,3,0,0,6,170,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,80,0
5,Cowboys,Francis Molo,8,Interchange,42,4,1,0,0,0,0,0,54,11,123,33,54,1,0,0,0,1,8,8,4.02,0,0,0,0,0,1,11,0.09,1.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12
5,Cowboys,Reece Robson,9,Hooker,80,0,0,0,0,0,0,0,61,9,61,0,17,0,1,1,0,0,2,4,3.75,7,45,0,0,5,91,94,10.11,0.9420000000000001,49,1,2,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Cowboys,Jordan McLean,10,Prop,20,0,0,0,0,0,0,0,25,7,82,38,33,0,0,0,0,0,5,6,3.83,0,0,0,0,0,1,8,0.14,0.9440000000000001,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
5,Cowboys,Mitchell Dunn,11,2nd,80,0,0,0,0,0,0,0,26,6,47,0,21,0,0,1,0,0,4,5,3.66,0,0,0,0,0,4,10,0.67,0.9470000000000001,18,0,1,0,0,1,25,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,80,0
5,Cowboys,Coen Hess,12,2nd,80,0,0,0,0,0,0,0,38,14,126,0,50,0,0,0,0,0,14,12,3.42,0,0,0,1,0,2,16,0.14,1.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,80,0
5,Cowboys,Josh McGuire,13,Prop,80,0,0,0,0,0,0,0,71,17,177,0,76,0,0,0,0,1,17,14,3.64,0,0,0,3,0,6,24,0.35,0.925,49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Cowboys,Reuben Cotter,14,Interchange,10,0,0,0,0,0,0,0,12,1,10,0,3,0,0,0,0,0,0,1,2.68,0,0,0,0,0,0,1,0,0.938,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
5,Cowboys,Tom Gilbert,15,Interchange,25,0,0,0,0,0,0,0,13,7,66,23,19,0,0,0,0,0,5,7,3.66,0,0,0,0,0,0,7,0,0.882,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0
5,Cowboys,Gavin Cooper,17,Interchange,53,0,0,0,0,0,0,0,31,4,23,0,7,0,0,0,0,0,3,4,4.32,0,0,0,0,0,4,8,1,0.938,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
5,Cowboys,Jason Taumalolo,20,Lock,63,0,0,0,0,0,0,0,74,14,137,0,55,0,0,0,0,2,13,10,4.14,0,0,0,3,0,3,16,0.21,0.9640000000000001,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,30
5,Eels,Clinton Gutherson,1,Fullback,80,4,1,0,0,0,0,0,48,17,173,81,39,1,0,0,0,2,0,12,3.87,0,0,0,0,1,15,32,0.88,1.0,8,0,0,0,3,1,20,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,80,0
5,Eels,Maika Sivo,2,Winger,80,0,0,0,0,0,0,0,3,9,78,18,24,0,0,0,0,0,0,9,4.24,0,0,0,0,0,2,13,0.22,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80,0
5,Eels,Michael Jennings,3,Centre,80,0,0,0,0,0,0,0,25,14,119,0,43,0,0,0,0,3,0,11,3.59,1,9,0,1,0,6,18,0.43,0.867,13,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,80,0
5,Eels,Waqa Blake,4,Centre,80,4,1,0,0,0,0,0,60,11,91,0,23,1,1,1,0,6,0,8,3.77,0,0,0,0,0,6,14,0.55,0.7829999999999999,18,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Eels,Blake Ferguson,5,Winger,80,0,0,0,0,0,0,0,16,17,141,16,61,0,0,0,0,1,0,15,3.36,0,0,0,0,0,4,22,0.24,0.75,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,80,0
5,Eels,Dylan Brown,6,Five-Eighth,80,0,0,0,0,0,0,0,47,14,118,0,38,1,0,0,0,3,0,7,3.54,0,0,0,1,4,27,39,1.93,0.9059999999999999,29,2,1,0,0,3,67,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,80,0
5,Eels,Mitchell Moses,7,Halfback,80,4,0,2,3,0,0.6667000000000001,0,67,7,50,0,7,0,0,1,0,3,0,2,2.84,0,0,0,0,0,36,55,5.14,0.875,21,2,1,0,0,16,439,3,8,2,0,0,1,0,0,0,0,1,0,0,0,0,80,0
5,Eels,Reagan Campbell-Gillard,8,Prop,40,0,0,0,0,0,0,0,45,14,144,0,64,0,0,0,0,4,14,14,3.93,0,0,0,0,0,0,14,0,0.95,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18
5,Eels,Reed Mahoney,9,Hooker,80,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,129,128,129,1.0,51,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,80,0
5,Eels,Junior Paulo,10,Prop,51,0,0,0,0,0,0,0,44,18,151,55,51,0,0,0,0,2,14,15,3.71,0,0,0,2,1,4,22,0.22,1.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,29,22
5,Eels,Shaun Lane,11,2nd,80,0,0,0,0,0,0,0,60,16,161,0,71,0,0,0,0,5,16,13,3.67,0,0,0,2,2,4,21,0.25,0.9670000000000001,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,80,0
5,Eels,Ryan Matterson,12,2nd,80,4,1,0,0,0,0,0,75,21,154,0,58,0,0,0,0,1,19,18,3.89,0,0,0,3,0,3,25,0.14,0.898,44,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0
5,Eels,Nathan Brown,13,Lock,60,0,0,0,0,0,0,0,44,18,158,6,48,0,0,0,0,3,16,14,3.45,0,0,0,2,0,8,24,0.44,0.846,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,28
5,Eels,Ray Stone,14,Interchange,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0
5,Eels,Marata Niukore,15,Interchange,35,0,0,0,0,0,0,0,33,6,61,0,24,0,0,0,0,1,6,6,3.47,0,0,0,0,0,0,6,0,0.963,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4
5,Eels,Kane Evans,16,Interchange,27,0,0,0,0,0,0,0,42,10,92,9,38,0,0,0,0,4,9,7,3.95,0,0,0,3,0,2,12,0.2,0.955,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0
5,Eels,Peni Terepo,17,Interchange,20,0,0,0,0,0,0,0,18,3,25,0,7,0,0,0,0,0,3,2,4.02,0,0,0,1,0,0,4,0,1.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,20,0
5,Panthers,Caleb Aekins,1,Fullback,80,0,0,0,0,0,0,0,21,12,111,49,37,0,1,1,0,1,1,12,3s,0,0,0,0,0,9,22,0.75,0.667,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
