Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
4,Broncos,Jamayne Isaako,1,Fullback,80,0,0,0,0,0,0,0,20,10,74,26,27,0,0,0,0,3,0,8,3.22,1,13,0,0,1,14,24,1.4,0.769,10,2,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,80,0
4,Broncos,Corey Oates,2,Winger,80,0,0,0,0,0,0,0,20,14,133,13,64,0,0,0,0,1,0,11,3.25,0,0,0,0,0,0,14,0,0.857,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0
4,Broncos,Jesse Arthars,3,Centre,71,0,0,0,0,0,0,0,22,4,26,0,9,0,0,0,0,0,0,4,2.76,0,0,0,0,0,6,8,1.5,0.879,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,71,0
4,Broncos,Darius Boyd,4,Centre,80,0,0,0,0,0,0,0,19,8,83,0,21,1,0,0,0,2,0,6,3.57,1,8,0,0,0,6,13,0.75,0.75,9,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,80,0
4,Broncos,Herbie Farnworth,5,Winger,80,0,0,0,0,0,0,0,11,10,92,0,38,0,0,0,0,1,0,10,3.58,0,0,0,0,0,1,12,0.1,0.667,6,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,80,0
4,Broncos,Anthony Milford,6,Five-Eighth,80,0,0,0,0,0,0,0,15,7,52,0,12,0,0,0,0,0,0,2,4.3,1,8,0,2,2,21,32,3,0.667,10,4,1,0,0,5,178,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,80,0
4,Broncos,Brodie Croft,7,Halfback,80,0,0,0,0,0,0,0,22,3,7,0,3,0,0,0,0,0,0,2,3.8,0,0,0,0,3,26,38,8.67,0.757,28,5,4,0,0,8,179,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0,80,0
4,Broncos,Thomas Flegler,8,Prop,50,0,0,0,0,0,0,0,32,8,62,0,27,0,0,0,0,1,8,5,2.99,0,0,0,1,0,1,9,0.13,0.868,33,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,23,25
4,Broncos,Payne Haas,10,Prop,63,0,0,0,0,0,0,0,85,15,103,4,41,0,0,0,0,4,13,8,3.31,0,0,0,6,0,0,15,0,0.981,53,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,14
4,Broncos,Ethan Bullemor,11,2nd,69,0,0,0,0,0,0,0,47,9,81,0,40,0,1,0,0,3,8,6,3.54,1,11,0,1,1,1,9,0.11,0.821,32,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
4,Broncos,Jamil Hopoate,12,2nd,80,0,0,0,0,0,0,0,44,4,36,0,19,0,0,0,0,1,4,4,4s,0,0,0,0,0,0,4,0,0.885,46,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
4,Broncos,Patrick Carrigan,13,Lock,52,0,0,0,0,0,0,0,49,13,119,0,63,0,0,0,0,1,13,11,3.37,0,0,0,2,0,0,13,0,0.867,39,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,27
4,Broncos,Tesi Niu,14,Interchange,28,0,0,0,0,0,0,0,7,7,54,0,23,0,0,0,0,1,4,6,3.73,2,13,0,0,0,12,18,1.71,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
4,Broncos,Joe Ofahengaue,15,Interchange,29,0,0,0,0,0,0,0,23,7,70,0,35,0,0,0,0,2,7,7,2.85,0,0,0,0,0,0,7,0,0.833,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0
4,Broncos,Rhys Kennedy,16,Interchange,19,0,0,0,0,0,0,0,25,2,20,0,11,0,0,0,0,0,2,1,3s,0,0,0,1,0,0,2,0,0.92,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
4,Broncos,Matthew Lodge,17,Interchange,31,0,0,0,0,0,0,0,19,10,84,16,34,0,0,0,0,0,8,6,3.81,0,0,0,2,0,2,11,0.2,0.792,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0
4,Broncos,Cory Paix,18,Hooker,64,0,0,0,0,0,0,0,45,5,15,0,3,0,0,0,0,0,2,1,3.4,3,8,0,0,2,59,62,11.8,0.9259999999999999,50,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,39,11
4,Roosters,Daniel Tupou,2,Winger,80,4,1,0,0,0,0,0,44,18,204,70,86,1,0,0,0,3,0,16,2.6,0,0,0,1,0,1,21,0.06,1.0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,80,0
4,Roosters,Josh Morris,3,Centre,80,4,1,0,0,0,0,0,60,14,132,0,48,1,2,1,0,5,0,10,3.38,0,0,0,1,2,8,21,0.57,0.882,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
4,Roosters,Joseph Manu,4,Centre,80,4,1,0,0,0,0,0,37,8,82,0,26,1,0,0,0,3,0,6,3.45,0,0,0,1,2,2,9,0.25,0.9229999999999999,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0
4,Roosters,Brett Morris,5,Fullback,80,4,1,0,0,0,0,0,52,14,144,43,47,0,2,2,0,3,0,8,3.16,0,0,0,3,0,16,29,1.14,0.8,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,80,0
4,Roosters,Luke Keary,6,Five-Eighth,80,5,1,0,0,0,0,1,73,12,128,0,3,1,1,2,0,1,0,1,4s,1,11,1,0,6,45,57,3.75,1.0,19,0,0,0,0,9,160,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,80,0
4,Roosters,Kyle Flanagan,7,Halfback,80,22,1,9,10,0,0.9,0,68,3,38,0,5,0,1,1,0,3,0,1,5.04,0,0,0,1,3,30,38,10,0.7040000000000001,19,3,5,0,0,5,130,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0
4,Roosters,Jared Waerea-Hargreaves,8,Prop,21,0,0,0,0,0,0,0,21,11,133,56,55,0,0,0,0,0,7,11,3.99,0,0,0,0,0,2,13,0.18,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0
