Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
1,Eels,Clinton Gutherson,1,Fullback,80,0,0,0,0,0,0,0,32,17,205,64,46,0,0,0,0,2,1,11,4.21,3,31,0,0,5,17,36,1,0.889,8,1,0,0,2,2,39,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,80,0
1,Eels,Maika Sivo,2,Winger,80,0,0,0,0,0,0,0,23,11,121,0,33,0,0,0,0,3,0,9,3.44,0,0,0,0,1,0,11,0,0.6,3,1,1,0,1,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,0
1,Eels,Michael Jennings,3,Centre,80,0,0,0,0,0,0,0,13,7,88,17,41,0,0,0,0,1,1,6,2.53,3,37,0,0,0,5,8,0.71,0.8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
1,Eels,Waqa Blake,4,Centre,80,0,0,0,0,0,0,0,28,11,84,0,24,0,0,0,0,2,0,11,3.49,0,0,0,0,0,5,13,0.45,0.833,15,1,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
1,Eels,Blake Ferguson,5,Winger,80,0,0,0,0,0,0,0,29,16,158,74,43,0,0,0,0,4,0,13,3.07,0,0,0,1,0,4,22,0.25,0.5,2,2,0,0,2,1,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0
1,Eels,Dylan Brown,6,Five-Eighth,80,0,0,0,0,0,0,0,30,7,65,0,16,0,0,0,0,1,0,4,3.68,1,11,0,1,3,29,37,4.14,0.9620000000000001,25,1,0,0,0,1,14,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0
1,Eels,Mitchell Moses,7,Halfback,80,4,0,1,1,1,1.0,0,43,7,31,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,39,56,5.57,0.833,20,3,1,0,0,16,402,0,6,2,0,0,1,0,1,0,0,2,0,0,0,0,80,0
1,Eels,Reagan Campbell-Gillard,8,Prop,45,0,0,0,0,0,0,0,36,10,87,19,30,0,0,0,0,1,9,9,3.81,0,0,0,0,0,2,12,0.2,0.9690000000000001,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,28,12
1,Eels,Reed Mahoney,9,Hooker,80,4,1,0,0,0,0,0,54,2,10,0,3,0,0,0,0,0,0,1,2.52,2,10,0,0,2,96,100,48,1.0,44,0,0,0,0,2,70,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,80,0
1,Eels,Junior Paulo,10,Prop,46,0,0,0,0,0,0,0,53,14,116,11,39,0,0,0,0,5,13,11,3.56,0,0,0,2,0,2,16,0.14,1.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17
1,Eels,Shaun Lane,11,2nd,80,0,0,0,0,0,0,0,41,17,125,0,54,0,0,0,0,3,16,15,3.83,0,0,0,0,0,2,18,0.12,0.897,26,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
1,Eels,Ryan Matterson,12,2nd,80,0,0,0,0,0,0,0,54,14,103,0,24,0,0,0,0,3,13,10,3.7,0,0,0,2,1,2,15,0.14,0.8859999999999999,39,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
1,Eels,Nathan Brown,13,Lock,61,0,0,0,0,0,0,0,41,14,103,0,19,0,0,0,0,1,11,9,3.91,0,0,0,1,1,7,18,0.5,0.9229999999999999,36,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,31,28
1,Eels,Brad Takairangi,14,Interchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Eels,Marata Niukore,15,Interchange,32,0,0,0,0,0,0,0,18,9,79,0,26,0,0,0,0,0,9,8,3.4,0,0,0,0,0,0,9,0,0.895,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,25,6
1,Eels,Kane Evans,16,Interchange,26,0,0,0,0,0,0,0,23,6,46,20,13,0,0,0,0,0,4,4,3.12,0,0,0,1,0,0,7,0,1.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,22,2
1,Eels,Peni Terepo,17,Interchange,30,0,0,0,0,0,0,0,19,6,56,0,16,0,0,0,0,1,6,6,3.24,0,0,0,0,0,1,7,0.17,0.85,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4
1,Bulldogs,Dallin Watene-Zelezniak,1,Fullback,80,0,0,0,0,0,0,0,41,17,198,53,41,1,0,0,0,6,1,12,3.31,0,0,0,1,2,14,33,0.82,1.0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,80,0
1,Bulldogs,Nick Meaney,2,Winger,80,0,0,0,0,0,0,0,9,9,51,3,15,0,0,0,0,0,0,9,3.63,3,23,0,0,0,5,16,0.56,0.667,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,80,0
1,Bulldogs,Reimis Smith,3,Centre,80,0,0,0,0,0,0,0,24,13,133,0,39,0,0,0,0,3,1,11,4.03,0,0,0,1,1,4,15,0.31,0.818,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,80,0
1,Bulldogs,Will Hopoate,4,Centre,80,0,0,0,0,0,0,0,25,15,133,0,42,0,0,0,0,2,0,14,3.45,0,0,0,1,1,5,20,0.33,0.857,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,80,0
