Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
11,Eels,Clinton Gutherson,1,Fullback,80,0,0,0,0,0,0,0,35,17,137,18,43,0,2,2,0,0,0,12,4.55,2,10,0,0,2,15,34,0.88,1.0,6,0,0,0,3,3,33,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,80,0
11,Eels,Maika Sivo,2,Winger,80,8,2,0,0,0,0,0,39,14,120,15,31,2,0,0,0,1,0,11,3.93,0,0,0,0,1,1,16,0.07,0.667,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
11,Eels,Michael Jennings,3,Centre,77,0,0,0,0,0,0,0,29,10,80,0,35,0,0,0,0,2,0,9,3.44,1,14,0,0,1,12,18,1.2,0.875,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
11,Eels,Waqa Blake,4,Centre,80,0,0,0,0,0,0,0,29,13,113,0,46,1,0,0,0,3,1,8,3.92,0,0,0,2,0,6,19,0.46,0.769,10,3,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80,0
11,Eels,Blake Ferguson,5,Winger,80,0,0,0,0,0,0,0,26,17,141,33,62,0,0,0,0,4,0,18,3.38,0,0,0,0,0,6,24,0.35,0.5710000000000001,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
11,Eels,Dylan Brown,6,Five-Eighth,80,0,0,0,0,0,0,0,52,14,114,0,41,0,0,0,0,2,0,8,3.77,0,0,0,0,4,33,45,2.36,1.0,28,0,0,0,0,3,67,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,0
11,Eels,Mitchell Moses,7,Halfback,80,10,1,2,5,1,0.5,0,47,9,49,0,2,0,0,0,0,0,0,3,4.76,0,0,0,1,2,28,48,3.11,0.81,17,4,0,0,0,14,442,1,5,1,0,0,1,0,3,1,0,0,0,0,0,0,80,0
11,Eels,Reagan Campbell-Gillard,8,Prop,67,4,1,0,0,0,0,0,79,23,247,0,89,1,0,0,0,4,23,20,3.51,0,0,0,1,0,1,24,0.04,0.943,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
11,Eels,Reed Mahoney,9,Hooker,80,0,0,0,0,0,0,0,44,8,41,0,14,0,0,0,0,1,3,4,4.61,5,17,0,0,2,131,137,16.38,0.8959999999999999,43,2,3,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,80,0
11,Eels,Junior Paulo,10,Prop,68,0,0,0,0,0,0,0,46,21,218,86,73,0,0,0,0,1,13,14,3.41,0,0,0,1,2,7,26,0.33,0.938,30,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,51,17
