Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
10,Roosters,James Tedesco,1,Fullback,80,0,0,0,0,0,0,0,62,19,236,98,35,0,1,1,0,8,1,15,3.73,1,10,0,0,5,10,26,0.53,0.909,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
10,Roosters,Matt Ikuvalu,2,Winger,80,4,1,0,0,0,0,0,38,22,247,49,63,1,0,0,0,0,7,18,3.19,0,0,0,0,0,2,25,0.09,1.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
10,Roosters,Josh Morris,3,Centre,80,0,0,0,0,0,0,0,33,8,92,0,22,0,1,1,0,2,1,4,4.25,0,0,0,2,0,3,13,0.38,1.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,80,0
10,Roosters,Joseph Manu,4,Centre,80,0,0,0,0,0,0,0,29,6,61,0,13,0,0,0,0,3,0,4,3.59,0,0,0,1,0,1,7,0.17,0.857,18,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
10,Roosters,Brett Morris,5,Winger,72,8,2,0,0,0,0,0,32,12,109,0,17,2,0,0,0,0,1,7,2.68,1,9,0,0,0,2,14,0.17,0.667,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,48,23
10,Roosters,Luke Keary,6,Five-Eighth,80,0,0,0,0,0,0,0,23,10,78,0,4,0,0,0,0,0,0,1,2.12,0,0,0,0,3,39,45,3.9,0.789,15,3,1,0,0,5,153,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,80,0
10,Roosters,Kyle Flanagan,7,Halfback,80,8,0,2,3,2,0.8,0,48,11,61,0,1,0,1,1,0,0,0,3,3.4,0,0,0,0,6,20,28,1.82,0.938,30,1,1,0,0,5,192,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,80,0
10,Roosters,Jared Waerea-Hargreaves,8,Prop,60,0,0,0,0,0,0,0,44,14,130,0,29,0,0,0,0,0,13,11,3.16,0,0,0,2,0,7,20,0.5,0.897,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,31
10,Roosters,Jake Friend,9,Hooker,67,0,0,0,0,0,0,0,38,3,15,0,0,0,0,0,0,0,1,1,4.12,2,8,0,0,2,101,101,33.67,0.977,43,1,0,0,0,1,8,1,0,1,0,0,0,0,3,3,0,0,1,0,0,0,66,0
10,Roosters,Siosiua Taukeiaho,10,Lock,65,0,0,0,0,0,0,0,52,14,137,6,34,0,0,0,0,0,13,14,3.28,0,0,0,0,1,6,20,0.43,0.935,43,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,17
