Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
6,Knights,Kalyn Ponga,1,Fullback,80,10,0,4,4,1,1.0,0,68,23,228,55,56,1,0,0,0,6,0,14,3.95,4,62,0,2,4,22,45,0.96,0.667,2,1,0,0,3,6,149,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,80,0
6,Knights,Edrick Lee,2,Winger,80,0,0,0,0,0,0,0,25,14,163,22,64,0,0,0,0,0,2,14,3.64,1,15,0,0,0,2,15,0.14,1.0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
6,Knights,Bradman Best,4,Centre,80,0,0,0,0,0,0,0,28,14,139,6,63,0,0,0,0,0,1,13,3.33,0,0,0,0,0,4,17,0.29,0.8,20,2,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
6,Knights,Hymel Hunt,5,Winger,80,4,1,0,0,0,0,0,22,13,108,15,44,0,0,0,0,1,0,11,3.34,0,0,0,0,0,1,15,0.08,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
6,Knights,Kurt Mann,6,Five-Eighth,59,4,1,0,0,0,0,0,45,9,91,0,21,1,1,1,0,2,0,5,4.11,0,0,0,0,3,13,22,1.44,0.8640000000000001,19,2,1,0,0,1,4,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,58,0
6,Knights,Mitchell Pearce,7,Halfback,80,5,1,0,0,0,0,1,75,21,137,0,18,1,1,1,0,3,0,5,3.15,0,0,0,1,3,58,79,2.76,0.867,26,4,0,0,0,13,271,1,2,3,0,0,3,0,2,2,0,1,0,0,0,0,80,0
6,Knights,David Klemmer,8,Prop,52,0,0,0,0,0,0,0,60,19,189,12,87,0,0,0,0,2,18,16,3.73,0,0,0,3,0,0,19,0,0.968,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21
6,Knights,Andrew McCullough,9,Hooker,80,0,0,0,0,0,0,0,45,9,66,0,20,0,0,0,0,0,1,6,4.09,7,59,0,0,7,141,149,15.67,0.9329999999999999,42,1,2,0,1,1,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
6,Knights,Daniel Saifiti,10,Prop,51,4,1,0,0,0,0,0,70,19,214,25,98,1,0,0,0,6,17,16,3.22,0,0,0,1,0,1,21,0.05,0.92,23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,31
6,Knights,Lachlan Fitzgibbon,11,2nd,67,0,0,0,0,0,0,0,30,8,66,0,30,0,0,0,0,1,8,8,3.57,0,0,0,0,0,2,11,0.25,0.9059999999999999,29,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,56
