Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
13,Dragons,Matthew Dufty,1,Fullback,80,4,1,0,0,0,0,0,37,19,144,88,32,0,0,0,0,3,0,14,4.27,1,0,0,0,3,28,44,1.47,0.75,6,2,0,0,4,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,0
13,Dragons,Jordan Pereira,2,Winger,80,0,0,0,0,0,0,0,30,18,175,15,75,1,0,0,0,3,0,17,3.09,0,0,0,0,0,2,19,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
13,Dragons,Euan Aitken,3,Centre,80,0,0,0,0,0,0,0,57,20,221,0,105,0,1,0,0,5,2,15,3.16,0,0,0,2,0,5,25,0.25,1.0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
13,Dragons,Zac Lomax,4,Centre,80,12,2,2,3,0,0.6667000000000001,0,75,13,120,0,48,1,0,0,0,3,0,8,4.4,0,0,0,2,0,6,21,0.46,0.9620000000000001,25,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,80,0
13,Dragons,Mikaele Ravalawa,5,Winger,80,0,0,0,0,0,0,0,33,14,130,59,48,0,0,0,0,2,0,13,3.29,1,1,0,1,0,3,18,0.21,0.875,7,1,0,0,0,1,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,80,0
13,Dragons,Ben Hunt,6,Five-Eighth,80,0,0,0,0,0,0,0,54,7,27,0,4,0,0,0,0,0,0,0,0,2,1,0,1,8,84,95,12,0.8909999999999999,41,4,1,0,0,10,302,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,80,0
13,Dragons,Adam Clune,7,Halfback,80,0,0,0,0,0,0,0,43,13,77,0,12,0,0,0,0,2,0,4,4.22,0,0,0,1,11,48,59,3.69,0.8,16,2,2,0,1,5,140,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,80,0
13,Dragons,Blake Lawrie,8,Prop,46,0,0,0,0,0,0,0,49,15,146,25,62,0,0,0,0,0,12,14,3.62,0,0,0,0,1,1,15,0.07,0.9740000000000001,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19
13,Dragons,Cameron McInnes,9,Hooker,80,0,0,0,0,0,0,0,82,16,136,0,52,0,0,0,0,3,9,11,2.31,7,55,0,1,7,54,65,3.38,0.9540000000000001,62,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,80,0
13,Dragons,Tyson Frizell,11,2nd,80,0,0,0,0,0,0,0,55,11,142,0,45,1,0,0,0,3,11,10,3.2,0,0,0,0,0,8,18,0.73,0.872,34,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0
