Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
9,Cowboys,Hamiso Tabuai-Fidow,1,Fullback,80,0,0,0,0,0,0,0,9,6,32,21,10,0,0,0,0,0,0,6,4.44,0,0,0,0,0,13,22,2.17,0.7,7,1,2,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
9,Cowboys,Kyle Feldt,2,Winger,80,4,0,2,3,0,0.5,0,43,13,130,19,73,0,0,0,0,5,1,11,3.5,0,0,0,0,0,1,15,0.08,0.8,8,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,80,0
9,Cowboys,Connelly Lemuelu,3,Centre,80,0,0,0,0,0,0,0,17,11,112,0,50,0,0,0,0,0,2,7,3.39,0,0,0,1,0,2,12,0.18,0.909,10,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,80,0
9,Cowboys,Esan Marsters,4,Centre,80,0,0,0,0,0,0,0,13,7,58,0,28,0,0,0,0,0,0,7,3.11,2,24,0,0,0,3,9,0.43,0.75,12,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
9,Cowboys,Valentine Holmes,5,Winger,41,0,0,0,0,0,0,0,4,4,28,7,16,0,0,0,0,0,0,5,4.09,2,13,0,0,0,1,6,0.25,0.75,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0
9,Cowboys,Scott Drinkwater,6,Five-Eighth,80,0,0,0,0,0,0,0,17,6,31,0,0,0,1,1,0,0,1,1,4.32,0,0,0,0,2,21,30,3.5,0.76,19,5,1,0,0,4,82,1,2,1,0,0,1,0,4,4,0,0,0,0,0,0,80,0
9,Cowboys,Jake Clifford,7,Halfback,80,0,0,0,0,0,0,0,34,5,36,0,8,0,0,0,0,0,0,2,3.56,0,0,0,1,2,23,38,4.6,0.743,26,5,4,0,1,10,296,0,3,2,0,0,1,1,1,1,0,0,0,0,0,0,80,0
9,Cowboys,Josh McGuire,8,Prop,71,0,0,0,0,0,0,0,45,21,192,0,86,0,0,0,0,0,21,21,3.59,0,0,0,0,3,4,26,0.19,0.9,36,4,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,23
9,Cowboys,Reece Robson,9,Hooker,80,8,2,0,0,0,0,0,95,7,69,0,7,2,0,0,0,6,0,3,4.21,7,69,0,0,3,118,122,16.86,0.9440000000000001,51,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
9,Cowboys,Francis Molo,10,Prop,36,0,0,0,0,0,0,0,19,11,97,16,35,0,0,0,0,0,9,11,3.84,0,0,0,0,0,3,14,0.27,0.762,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,12
9,Cowboys,Shane Wright,11,2nd,80,0,0,0,0,0,0,0,41,6,35,0,13,0,0,0,0,0,6,6,3.43,0,0,0,1,0,0,7,0,0.846,44,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
9,Cowboys,Coen Hess,12,2nd,80,4,1,0,0,0,0,0,39,17,149,0,74,1,0,0,0,1,17,14,2.93,0,0,0,1,0,0,17,0,0.7829999999999999,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
9,Cowboys,Jason Taumalolo,13,Lock,58,0,0,0,0,0,0,0,58,20,214,22,102,0,0,0,0,4,18,18,3.89,1,11,0,0,2,2,22,0.1,1.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26,32
9,Cowboys,Ben Hampton,14,Interchange,40,0,0,0,0,0,0,0,-5,4,32,0,8,0,0,0,0,0,0,4,2.7,0,0,0,0,0,1,6,0.25,0.33299999999999996,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,0
9,Cowboys,Tom Gilbert,15,Interchange,21,0,0,0,0,0,0,0,17,7,44,1,22,0,0,0,0,0,6,7,3.88,0,0,0,0,0,0,7,0,0.929,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
9,Cowboys,Peter Hola,16,Interchange,23,0,0,0,0,0,0,0,25,8,78,24,34,0,0,0,0,1,6,7,3.93,0,0,0,1,0,0,8,0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,14
9,Cowboys,Gavin Cooper,17,Interchange,31,0,0,0,0,0,0,0,23,6,41,0,20,0,0,0,0,0,6,6,3.17,0,0,0,0,1,1,7,0.17,0.92,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
9,Roosters,James Tedesco,1,Fullback,80,0,0,0,0,0,0,0,76,22,231,59,64,1,2,2,0,7,2,9,3.21,1,11,0,5,0,19,36,0.86,0.75,9,3,0,0,1,1,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,80,0
9,Roosters,Ryan Hall,2,Winger,80,0,0,0,0,0,0,0,14,15,127,16,61,0,0,0,0,1,1,13,2.9,0,0,0,0,0,2,16,0.13,0.5,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
9,Roosters,Josh Morris,3,Centre,80,0,0,0,0,0,0,0,20,10,89,12,31,0,0,0,0,4,2,7,2.46,0,0,0,1,0,3,12,0.3,0.7140000000000001,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,80,0
9,Roosters,Joseph Manu,4,Centre,80,0,0,0,0,0,0,0,57,10,75,0,23,0,2,2,0,5,0,7,3.65,0,0,0,0,3,6,15,0.6,0.875,21,0,3,0,0,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
9,Roosters,Luke Keary,6,Five-Eighth,80,8,2,0,0,0,0,0,48,13,109,0,13,0,0,1,0,0,0,3,3.6,1,2,0,0,2,41,53,3.15,0.917,11,0,1,0,0,6,121,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,80,0
9,Roosters,Kyle Flanagan,7,Halfback,80,10,0,5,8,0,0.625,0,48,8,25,0,1,0,2,1,0,1,0,3,3.89,0,0,0,0,2,25,31,3.13,0.857,24,2,2,0,1,3,77,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
9,Roosters,Jared Waerea-Hargreaves,8,Prop,30,0,0,0,0,0,0,0,31,6,31,8,9,0,0,0,0,0,5,5,2.66,0,0,0,1,0,1,7,0.17,0.968,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30,0
9,Roosters,Jake Friend,9,Hooker,24,0,0,0,0,0,0,0,27,2,9,0,0,0,0,0,0,0,0,1,2.56,1,6,0,0,0,38,39,19,0.963,26,1,0,0,1,2,59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24,0
9,Roosters,Siosiua Taukeiaho,10,Prop,69,0,0,0,0,0,0,0,71,19,195,19,92,1,0,1,0,1,16,15,2.63,0,0,0,1,3,6,23,0.32,0.977,42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,63,4
9,Roosters,Angus Crichton,11,2nd,80,0,0,0,0,0,0,0,66,18,176,0,91,0,0,0,0,3,18,14,3.25,0,0,0,3,0,2,22,0.11,1.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,80,0
9,Roosters,Mitchell Aubusson,12,2nd,80,0,0,0,0,0,0,0,44,8,67,0,40,0,0,0,0,1,8,8,3.11,0,0,0,0,0,3,11,0.38,0.946,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
9,Roosters,Nat Butcher,13,Lock,46,0,0,0,0,0,0,0,53,11,111,0,35,0,0,0,0,2,9,8,2.66,0,0,0,0,1,6,16,0.55,0.9790000000000001,46,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,29,16
9,Roosters,Lachlan Lam,14,Interchange,56,0,0,0,0,0,0,0,48,5,47,0,2,1,0,0,0,3,1,3,3.37,2,25,0,0,0,85,86,17,0.973,36,1,0,0,0,1,32,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,56,0
9,Roosters,Sitili Tupouniua,15,Interchange,38,4,1,0,0,0,0,0,30,13,148,11,59,0,0,0,0,1,10,11,3.2,0,0,0,0,1,3,16,0.23,0.846,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,38,0
9,Roosters,Poasa Faamausili,16,Interchange,16,0,0,0,0,0,0,0,15,6,63,17,21,0,0,0,0,0,4,5,2.7,0,0,0,0,0,1,6,0.17,0.917,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
9,Roosters,Lindsay Collins,17,Interchange,41,0,0,0,0,0,0,0,45,15,164,51,58,1,0,1,0,1,10,13,2.75,0,0,0,0,0,2,15,0.13,0.84,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,12
9,Roosters,Matt Ikuvalu,21,Winger,80,20,5,0,0,0,0,0,98,18,145,8,49,4,0,0,0,7,4,12,3.24,0,0,0,0,0,3,22,0.17,1.0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
9,Titans,Corey Thompson,1,Fullback,80,0,0,0,0,0,0,0,62,17,139,28,37,0,1,1,0,10,0,16,3.84,3,32,0,0,0,5,22,0.29,1.0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
9,Titans,Anthony Don,2,Winger,80,4,1,0,0,0,0,0,28,11,93,15,23,1,0,0,0,2,0,8,2.92,0,0,0,0,1,9,19,0.82,1.0,4,0,0,0,1,1,11,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0
9,Titans,Beau Fermor,3,Centre,80,4,1,0,0,0,0,0,31,8,80,0,31,0,0,0,0,1,1,7,3.21,0,0,0,0,1,6,15,0.75,0.789,15,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0
9,Titans,Bryce Cartwright,4,Centre,80,0,0,0,0,0,0,0,28,13,114,0,31,0,0,0,0,0,0,9,3.16,0,0,0,2,0,10,20,0.77,0.941,16,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0
9,Titans,Treymain Spry,5,Winger,80,0,0,0,0,0,0,0,18,13,93,27,41,0,0,0,0,2,1,12,2.93,0,0,0,0,0,3,19,0.23,0.7,7,1,2,0,2,1,17,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,80,0
9,Titans,Ashley Taylor,6,Five-Eighth,63,2,0,1,2,0,0.5,0,29,4,29,0,7,0,0,1,0,1,0,2,3.76,1,7,0,1,2,24,35,6,0.75,12,2,2,0,0,7,182,0,2,2,0,0,1,0,1,1,0,0,0,0,0,0,63,0
9,Titans,Jamal Fogarty,7,Halfback,80,2,0,1,1,0,1.0,0,65,18,121,0,35,0,0,1,0,1,0,8,3.65,1,15,0,1,8,42,66,2.33,0.867,26,0,4,0,0,12,313,1,5,3,0,0,0,0,1,0,0,0,1,0,0,0,80,0
9,Titans,Moeaki Fotuaika,8,Prop,58,0,0,0,0,0,0,0,55,13,134,13,62,0,0,0,0,3,11,12,3.01,0,0,0,0,0,3,19,0.23,0.929,39,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,40,17
9,Titans,Erin Clark,9,Hooker,50,0,0,0,0,0,0,0,34,7,64,0,15,0,0,0,0,1,2,2,3.04,5,36,0,0,4,66,69,9.43,0.929,26,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,17
9,Titans,Jaimin Jolliffe,10,Prop,37,0,0,0,0,0,0,0,30,11,90,0,42,0,0,0,0,1,11,9,3.14,0,0,0,0,1,1,12,0.09,0.96,24,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,23,12
9,Titans,Sam Stone,11,2nd,80,4,1,0,0,0,0,0,59,9,69,0,30,0,0,0,0,1,9,8,3.35,0,0,0,1,0,1,11,0.11,0.925,37,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
9,Titans,Keegan Hipgrave,12,2nd,67,0,0,0,0,0,0,0,39,8,63,0,15,0,0,0,0,3,8,8,4.48,0,0,0,0,0,2,10,0.25,0.903,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,0
