Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,On Report,Sin Bins,Send Offs,Stint One,Stint Two
7,Panthers,Dylan Edwards,1,Fullback,80,4,1,0,0,0,0,0,43,21,172,24,69,1,0,0,0,4,1,14,3.68,0,0,0,0,1,12,28,0.57,1.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
7,Panthers,Dean Whare,3,Centre,73,0,0,0,0,0,0,0,18,9,80,0,38,0,1,0,0,0,1,10,3.37,2,25,0,0,0,6,14,0.67,0.833,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0
7,Panthers,Stephen Crichton,4,Centre,80,4,1,0,0,0,0,0,40,11,131,10,46,1,0,0,0,2,0,7,3.7,0,0,0,0,0,12,17,1.09,0.818,9,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80,0
7,Panthers,Brian To'o,5,Winger,80,0,0,0,0,0,0,0,38,14,170,18,88,1,0,0,0,5,1,15,3.17,0,0,0,0,0,0,18,0,0.778,7,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,80,0
7,Panthers,Jarome Luai,6,Five-Eighth,80,0,0,0,0,0,0,0,40,5,26,9,4,0,0,2,0,1,0,4,3.07,0,0,0,0,1,34,41,6.8,0.9229999999999999,24,1,1,0,1,3,80,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,80,0
7,Panthers,Nathan Cleary,7,Halfback,79,8,1,1,4,1,0.4,0,91,17,111,4,21,1,1,0,0,6,0,6,2.33,0,0,0,1,9,44,75,2.59,0.773,17,4,1,0,0,22,591,2,8,3,0,0,1,0,0,0,0,0,1,0,0,0,78,0
7,Panthers,James Tamou,8,Prop,48,0,0,0,0,0,0,0,37,19,182,27,94,0,0,0,0,0,17,17,2.48,0,0,0,1,0,2,22,0.11,0.875,21,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25,23
7,Panthers,Apisai Koroisau,9,Hooker,80,0,0,0,0,0,0,0,55,6,30,0,8,0,0,0,0,2,2,2,4.1,2,19,0,0,4,136,137,22.67,0.897,52,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,80,0
7,Panthers,James Fisher-Harris,10,Prop,64,0,0,0,0,0,0,0,61,24,248,75,103,0,0,0,0,0,16,20,2.96,0,0,0,1,3,6,27,0.25,0.946,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,27
7,Panthers,Viliame Kikau,11,2nd,72,0,0,0,0,0,0,0,30,8,62,0,31,0,0,0,0,2,8,7,4.1,0,0,0,1,0,4,12,0.5,0.848,28,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,48,23
7,Panthers,Liam Martin,12,2nd,63,0,0,0,0,0,0,0,36,10,96,0,51,0,0,0,0,1,10,9,3.6,0,0,0,0,0,1,12,0.1,0.919,34,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,56,6
7,Panthers,Isaah Yeo,13,Lock,80,0,0,0,0,0,0,0,52,13,101,0,50,0,0,0,0,0,13,12,3.13,0,0,0,1,2,8,21,0.62,0.917,44,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,80,0
7,Panthers,Matt Burton,14,Interchange,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Panthers,Zane Tetevano,15,Interchange,27,0,0,0,0,0,0,0,23,5,42,0,20,0,0,0,0,0,5,5,4.46,0,0,0,0,0,0,5,0,0.955,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,26,0
7,Panthers,Moses Leota,16,Interchange,21,0,0,0,0,0,0,0,23,6,43,0,24,0,0,0,0,1,5,4,2.39,0,0,0,1,0,0,6,0,0.8079999999999999,21,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0
7,Panthers,Billy Burns,17,Interchange,31,0,0,0,0,0,0,0,7,7,72,0,37,0,0,0,0,0,7,7,2.71,0,0,0,0,0,0,7,0,0.667,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
7,Panthers,Brent Naden,19,Winger,80,4,1,0,0,0,0,0,44,21,238,23,96,0,0,0,0,2,1,17,4.04,0,0,0,1,0,2,24,0.1,0.875,7,1,0,0,2,1,14,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,80,0
