Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two
3,Sharks,Briton Nikora,11,2nd,20,0,0,0,0,0,0,0,0,14,4,38,0,18,0,0,0,0,0,4,2,2.88,0,0,0,1,0,0,3,0,0.9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
3,Sharks,Wade Graham,12,2nd,18,0,0,0,0,0,0,0,0,5,3,27,1,18,0,0,0,0,0,2,3,3.95,0,0,0,0,0,2,5,0.67,0.75,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0
3,Sharks,Toby Rudolf,13,Lock,80,0,0,0,0,0,0,0,0,53,14,141,13,68,0,0,0,0,3,13,12,3.15,0,0,0,1,0,1,15,0.07,0.792,38,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
3,Sharks,Teig Wilton,14,Interchange,62,0,0,0,0,0,0,0,0,29,14,114,0,53,0,0,0,0,0,13,12,3.27,0,0,0,2,0,3,17,0.21,0.818,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
3,Sharks,Aiden Tolman,15,Interchange,57,0,0,0,0,0,0,0,0,46,9,84,0,39,0,0,0,0,1,9,9,3.23,0,0,0,0,0,3,12,0.33,0.932,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
3,Sharks,Jack Williams,16,Interchange,60,0,0,0,0,0,0,0,0,38,11,117,0,39,1,0,0,0,2,9,10,3.2,0,0,0,0,0,0,11,0,0.885,23,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0
3,Sharks,Billy Magoulias,17,Interchange,42,0,0,0,0,0,0,0,0,32,3,35,0,22,0,0,0,0,0,3,3,3.36,0,0,0,0,1,2,5,0.67,0.943,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,42,0
3,Knights,Tex Hoy,1,Fullback,80,8,1,2,2,0,1.0,0,0,47,20,178,67,44,1,1,1,0,3,0,16,4.01,0,0,0,1,0,9,31,0.45,0.6,3,2,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,80,0
3,Knights,Enari Tuala,3,Centre,80,0,0,0,0,0,0,0,0,27,8,66,0,25,0,0,0,0,2,0,7,4.09,0,0,0,0,0,3,12,0.38,1.0,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,Knights,Hymel Hunt,5,Winger,80,0,0,0,0,0,0,0,0,17,15,129,5,45,0,0,0,0,0,0,12,3.25,0,0,0,1,0,0,15,0,0.8,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,Knights,Kurt Mann,6,Five-Eighth,80,0,0,0,0,0,0,0,0,41,13,74,0,13,0,0,0,0,3,0,2,3.82,0,0,0,0,0,27,33,2.08,0.929,26,1,1,0,0,3,66,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
3,Knights,Mitchell Pearce,7,Halfback,80,4,1,0,0,0,0,0,0,59,13,113,0,17,0,0,0,0,1,0,5,3.09,0,0,0,2,0,58,76,4.46,0.893,25,3,0,0,0,12,287,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,Knights,David Klemmer,8,Prop,72,0,0,0,0,0,0,0,0,58,20,193,30,73,0,0,0,0,0,18,18,3.29,0,0,0,1,0,0,20,0,0.932,41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,59,12
3,Knights,Jayden Brailey,9,Hooker,80,0,0,0,0,0,0,0,0,67,6,38,0,9,0,1,1,0,0,3,4,4.41,3,29,0,0,0,119,123,19.83,0.93,53,3,1,0,0,2,67,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
3,Knights,Daniel Saifiti,10,Prop,56,0,0,0,0,0,0,0,0,44,16,167,24,70,0,1,0,0,0,14,11,3.55,0,0,0,3,0,1,18,0.06,0.938,30,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,27,29
3,Knights,Tyson Frizell,11,2nd,80,4,1,0,0,0,0,0,0,63,11,114,0,27,1,0,0,0,3,10,8,3.77,0,0,0,0,0,1,11,0.09,0.946,35,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
3,Knights,Mitchell Barnett,12,2nd,80,4,1,0,2,0,0,0,0,49,21,142,0,56,1,0,0,0,2,20,13,3.66,0,0,0,4,1,5,26,0.24,0.735,25,8,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
3,Knights,Connor Watson,13,Interchange,55,0,0,0,0,0,0,0,0,69,16,151,0,30,1,0,1,0,6,11,9,3.48,0,0,0,0,0,12,21,0.75,0.917,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
3,Knights,Sauaso Sue,14,Lock,33,0,0,0,0,0,0,0,0,26,7,62,0,26,0,0,0,0,0,7,7,3.65,0,0,0,0,0,2,9,0.29,1.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8
3,Knights,Jacob Saifiti,15,Interchange,3,0,0,0,0,0,0,0,0,2,2,14,0,5,0,0,0,0,0,2,2,6.18,0,0,0,0,0,0,2,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
3,Knights,Josh King,16,Interchange,21,0,0,0,0,0,0,0,0,17,6,60,8,21,0,0,0,0,0,5,6,3.89,0,0,0,0,0,0,7,0,0.882,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,20,0
