Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two
4,Sea Eagles,Dylan Walker,1,Fullback,76,0,0,0,0,0,0,0,0,19,16,154,61,49,0,0,0,0,2,0,14,4.21,1,2,0,0,2,10,25,0.63,0.5,4,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
4,Sea Eagles,Jason Saab,2,Winger,80,0,0,0,0,0,0,0,0,0,8,61,14,15,0,0,0,0,2,0,8,4.15,0,0,0,0,0,1,11,0.13,0.25,2,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,80,0
4,Sea Eagles,Brad Parker,3,Centre,80,0,0,0,0,0,0,0,0,17,10,82,0,38,0,0,0,0,1,0,9,4.06,0,0,0,0,0,5,13,0.5,0.737,14,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
4,Sea Eagles,Moses Suli,4,Centre,55,0,0,0,0,0,0,0,0,19,9,68,0,15,0,0,0,0,3,0,9,3.42,0,0,0,0,0,1,10,0.11,0.7140000000000001,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
4,Sea Eagles,Reuben Garrick,5,Winger,80,2,0,1,1,0,1.0,0,0,22,14,101,12,30,0,0,0,0,1,0,13,3.93,0,0,0,0,0,2,16,0.14,0.727,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
4,Sea Eagles,Kieran Foran,6,Five-Eighth,80,0,0,0,0,0,0,0,0,40,6,45,0,6,0,0,0,0,1,0,4,3.71,0,0,0,0,0,24,34,4,0.9229999999999999,24,2,0,0,0,6,110,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
4,Sea Eagles,Daly Cherry-Evans,7,Halfback,80,0,0,0,0,0,0,0,0,43,8,63,17,4,0,0,0,0,1,0,3,4.51,0,0,0,0,1,40,56,5,0.742,23,4,4,0,0,13,380,0,1,1,1,0,2,0,1,1,0,1,1,0,0,0,0,80,0
4,Sea Eagles,Taniela Paseka,8,Prop,38,0,0,0,0,0,0,0,0,24,6,49,0,18,0,0,0,0,0,6,4,3.62,0,0,0,2,0,0,6,0,0.889,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,19
4,Sea Eagles,Lachlan Croker,9,Hooker,47,0,0,0,0,0,0,0,0,30,2,16,0,6,0,0,0,0,0,2,2,3.98,0,0,0,0,0,29,33,14.5,0.882,30,3,1,0,0,2,76,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,29,17
4,Sea Eagles,Martin Taupau,10,Prop,54,0,0,0,0,0,0,0,0,42,9,69,0,20,0,0,0,0,1,9,6,2.93,0,0,0,2,1,2,11,0.22,0.917,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24
4,Sea Eagles,Jack Gosiewski,11,Interchange,32,0,0,0,0,0,0,0,0,12,4,42,0,16,0,0,0,0,0,2,4,3.11,0,0,0,0,0,0,4,0,0.8,12,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0
4,Sea Eagles,Josh Schuster,12,2nd,80,0,0,0,0,0,0,0,0,39,9,65,0,36,0,0,0,0,0,9,9,3.69,0,0,0,1,0,5,16,0.56,0.907,39,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
4,Sea Eagles,Jake Trbojevic,13,Lock,80,0,0,0,0,0,0,0,0,45,17,140,0,45,0,0,0,0,1,13,13,2.88,0,0,0,0,1,13,26,0.76,1.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,80,0
4,Sea Eagles,Cade Cust,14,Interchange,50,4,1,0,0,0,0,0,0,45,6,54,0,8,1,0,0,0,3,2,4,3.9,3,22,0,0,2,79,83,13.17,1.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
4,Sea Eagles,Morgan Boyle,15,2nd,48,0,0,0,0,0,0,0,0,24,4,33,0,10,0,0,0,0,0,4,4,3.03,0,0,0,0,0,0,4,0,0.885,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
4,Sea Eagles,Sean Keppie,16,Interchange,34,0,0,0,0,0,0,0,0,29,14,126,16,44,0,0,0,0,2,13,8,3.24,0,0,0,2,0,2,16,0.14,0.765,13,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,33,0
4,Sea Eagles,Josh Aloiai,17,Interchange,45,0,0,0,0,0,0,0,0,50,19,183,37,70,0,0,0,0,5,16,18,3.71,0,0,0,0,0,0,19,0,0.9129999999999999,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,41,3
4,Panthers,Stephen Crichton,1,Fullback,80,0,0,0,0,0,0,0,0,35,14,187,141,40,0,0,0,0,1,1,12,5.08,0,0,0,1,2,11,25,0.79,0.833,5,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
4,Panthers,Charlie Staines,2,Winger,80,0,0,0,0,0,0,0,0,23,9,85,0,8,0,1,1,0,0,0,7,3.97,0,0,0,2,2,7,18,0.78,1.0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
4,Panthers,Paul Momirovski,3,Centre,80,4,1,0,0,0,0,0,0,53,17,145,0,31,1,0,0,0,5,0,13,2.79,0,0,0,1,0,3,19,0.18,0.833,15,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,80,0
4,Panthers,Matt Burton,4,Centre,80,4,1,0,0,0,0,0,0,61,8,118,0,19,2,1,1,0,4,0,5,4.3,0,0,0,1,3,4,11,0.5,0.938,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
4,Panthers,Brian To'o,5,Winger,80,8,2,0,0,0,0,0,0,74,18,205,15,80,2,0,0,0,8,0,15,3.69,0,0,0,0,2,2,21,0.11,1.0,5,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
4,Panthers,Jarome Luai,6,Five-Eighth,80,0,0,0,0,0,0,0,0,64,11,132,0,13,1,3,3,0,2,0,3,3.04,2,20,0,2,4,32,39,2.91,0.9,18,1,1,0,0,2,51,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
4,Panthers,Nathan Cleary,7,Halfback,80,14,0,6,8,1,0.7778,0,0,94,15,142,0,24,0,0,1,0,6,0,5,4.55,0,0,0,3,14,35,63,2.33,0.9329999999999999,14,1,0,0,0,19,540,0,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,80,0
4,Panthers,Moses Leota,8,Prop,37,4,1,0,0,0,0,0,0,47,17,172,60,51,1,0,0,0,2,11,16,3.41,0,0,0,0,0,2,19,0.12,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16
4,Panthers,Mitch Kenny,9,Hooker,73,0,0,0,0,0,0,0,0,35,1,8,0,0,0,0,0,0,0,0,0,0,1,8,0,0,3,110,109,110,0.9209999999999999,35,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,72,0
4,Panthers,James Fisher-Harris,10,Prop,55,0,0,0,0,0,0,0,0,54,16,145,0,56,0,1,1,0,1,15,13,2.76,0,0,0,2,2,4,19,0.25,0.963,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25
4,Panthers,Viliame Kikau,11,2nd,60,8,2,0,0,0,0,0,0,73,9,106,0,30,2,1,0,0,6,9,5,3.22,0,0,0,2,1,0,9,0,0.7390000000000001,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,23
4,Panthers,Kurt Capewell,12,2nd,64,4,1,0,0,0,0,0,0,33,8,75,0,16,0,0,0,0,0,7,6,3.33,0,0,0,1,1,2,11,0.25,0.828,24,3,2,0,0,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,40,23
4,Panthers,Isaah Yeo,13,Lock,57,0,0,0,0,0,0,0,0,41,10,95,0,45,0,0,0,0,0,9,9,3.93,0,0,0,0,2,11,20,1.1,0.971,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,56,0
4,Panthers,Tyrone May,14,Interchange,34,0,0,0,0,0,0,0,0,17,5,43,0,14,0,0,0,0,1,5,4,3.51,0,0,0,0,2,20,26,4,0.8,16,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0
4,Panthers,Spencer Leniu,15,Interchange,24,0,0,0,0,0,0,0,0,27,5,42,0,19,0,0,0,0,0,5,4,4.15,0,0,0,0,0,0,5,0,0.9309999999999999,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7
4,Panthers,Matthew Eisenhuth,16,Interchange,34,0,0,0,0,0,0,0,0,30,11,115,29,36,0,0,0,0,1,8,10,3.14,0,0,0,0,3,1,12,0.09,0.889,24,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,2
4,Panthers,Liam Martin,17,Interchange,44,0,0,0,0,0,0,0,0,29,13,96,0,36,0,0,0,0,1,13,12,3.17,0,0,0,0,0,0,13,0,0.895,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,0
4,Bulldogs,Nick Meaney,1,Fullback,75,0,0,0,0,0,0,0,0,21,14,98,47,28,0,0,0,0,1,0,12,3.11,2,19,0,0,0,16,31,1.14,1.0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
4,Bulldogs,Corey Allan,2,Winger,80,0,0,0,0,0,0,0,0,28,12,119,0,41,0,1,0,0,2,0,11,3.53,2,26,0,0,0,8,20,0.67,0.684,13,5,1,0,0,1,14,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,80,0
4,Bulldogs,Will Hopoate,3,Centre,80,0,0,0,0,0,0,0,0,18,15,111,0,44,0,0,0,0,1,0,13,3.17,2,24,0,0,1,4,19,0.27,0.727,8,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
