Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two
5,Rabbitohs,Latrell Mitchell,1,Fullback,80,9,2,0,0,0,0,1,0,95,14,157,81,39,1,3,1,0,11,0,8,4.2,2,14,0,1,0,17,32,1.21,1.0,5,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Rabbitohs,Alex Johnston,2,Winger,80,4,1,0,0,0,0,0,0,40,14,174,46,28,2,0,0,0,2,1,10,3.69,1,10,0,1,1,0,14,0,1.0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
5,Rabbitohs,Dane Gagai,3,Centre,80,0,0,0,0,0,0,0,0,60,16,166,0,47,1,1,2,0,4,0,12,4s,1,10,0,1,0,9,20,0.56,0.75,18,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Rabbitohs,Campbell Graham,4,Centre,80,4,1,0,0,0,0,0,0,63,16,195,0,68,1,0,0,0,8,0,15,3.93,0,0,0,0,0,7,23,0.44,0.9329999999999999,14,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,80,0
5,Rabbitohs,Josh Mansour,5,Winger,80,0,0,0,0,0,0,0,0,30,14,126,22,29,0,0,0,0,5,1,15,4.19,1,11,0,0,1,3,19,0.21,0.75,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
5,Rabbitohs,Benji Marshall,6,Five-Eighth,80,4,1,0,0,0,0,0,0,46,10,74,0,3,2,1,1,0,1,0,1,2.76,0,0,0,1,3,44,51,4.4,0.759,22,3,4,0,0,2,34,0,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,80,0
5,Rabbitohs,Adam Reynolds,7,Halfback,80,14,1,3,6,1,0.5714,0,1,53,6,65,0,13,0,0,1,0,2,0,2,5.7,1,13,0,0,0,29,47,4.83,0.7140000000000001,5,2,0,0,0,14,378,0,3,2,0,0,2,1,1,1,0,1,0,0,0,0,0,80,0
5,Rabbitohs,Thomas Burgess,8,Prop,47,0,0,0,0,0,0,0,0,47,19,246,117,80,0,0,0,0,0,12,18,3.72,0,0,0,0,0,0,19,0,0.871,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,24
5,Rabbitohs,Damien Cook,9,Hooker,66,0,0,0,0,0,0,0,0,44,7,49,0,0,1,0,0,0,2,0,0,0,7,49,0,0,3,104,106,14.86,0.919,34,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,65,0
5,Rabbitohs,Tevita Tatola,10,Prop,44,0,0,0,0,0,0,0,0,36,13,135,0,48,0,0,0,0,0,13,12,3.4,0,0,0,0,0,1,14,0.08,0.9059999999999999,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21
